artist,image,isNew,lastPos,peakPos,rank,title,weeks,date
Bush,,False,82,67,89,The Chemicals Between Us,19,2000-01-31
Rage Against The Machine,,False,95,69,90,Guerrilla Radio,15,2000-01-31
Beth Hart,,False,97,90,91,L.A. Song,11,2000-01-31
Clay Walker,,False,79,74,92,"Live, Laugh, Love",10,2000-01-31
Mandy Moore,,False,0,41,93,Candy,15,2000-01-31
Joe Diffie,,False,93,90,94,The Quittin' Kind,6,2000-01-31
Sole Featuring JT Money & Kandi,,False,87,21,95,"4, 5, 6",15,2000-01-31
Destiny's Child,,False,96,33,96,Bug A Boo,20,2000-01-31
Limp Bizkit Featuring Method Man,,False,90,73,97,N 2 Gether Now,10,2000-01-31
M2M,,False,98,21,98,Don't Say You Love Me,12,2000-01-31
Dr. Dre Featuring Snoop Dogg,,False,0,93,99,Still D.R.E.,5,2000-01-31
Kenny Chesney,,False,100,74,100,She Thinks My Tractor's Sexy,12,2000-01-31
Lonestar,,False,3,1,1,Amazed,31,2000-02-29
Savage Garden,,False,1,1,2,I Knew I Loved You,20,2000-02-29
Faith Hill,,False,5,3,3,Breathe,18,2000-02-29
Mariah Carey Featuring Joe & 98 Degrees,,False,2,1,4,Thank God I Found You,13,2000-02-29
Santana Featuring The Product G&B,,False,6,5,5,Maria Maria,4,2000-02-29
Celine Dion,,False,11,6,6,That's The Way It Is,17,2000-02-29
'N Sync,,False,13,7,7,Bye Bye Bye,6,2000-02-29
Blink-182,,False,8,6,8,All The Small Things,14,2000-02-29
Backstreet Boys,,False,12,9,9,Show Me The Meaning Of Being Lonely,10,2000-02-29
Montell Jordan,,False,7,4,10,Get It On Tonite,20,2000-02-29
"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",,False,10,5,11,Hot Boyz,15,2000-02-29
Christina Aguilera,,False,4,1,12,What A Girl Wants,15,2000-02-29
Santana Featuring Rob Thomas,,False,9,1,13,Smooth,32,2000-02-29
Britney Spears,,False,14,14,14,From The Bottom Of My Broken Heart,6,2000-02-29
Blaque,,False,15,5,15,Bring It All To Me,20,2000-02-29
